Date,Open,High,Low,Close,Adj Close,Volume
2015-11-03,65.769997,66.269997,65.099998,66.080002,53.084232,5509100
2015-11-04,65.940002,66.139999,65.010002,65.620003,52.714699,5241700
2015-11-05,65.790001,66.000000,65.199997,65.550003,52.658478,3918400
2015-11-06,65.480003,65.580002,64.139999,65.449997,52.578121,5504000
2015-11-09,65.080002,65.440002,64.540001,64.989998,52.208595,3987400
2015-11-10,65.029999,65.589996,64.699997,65.050003,52.256802,4024000
2015-11-11,65.389999,65.389999,64.190002,64.239998,51.606110,3980100
2015-11-12,64.089996,64.690002,63.689999,63.720001,51.188366,4037300
2015-11-13,63.740002,64.529999,63.570000,64.150002,51.533798,6239100
2015-11-16,64.150002,65.129997,63.709999,65.019997,52.232693,4660300
2015-11-17,64.930000,66.610001,64.669998,65.730003,52.803070,4959600
2015-11-18,66.000000,67.709999,65.959999,67.610001,54.313328,6169900
2015-11-19,67.419998,67.879997,66.739998,66.940002,53.775093,4010200
2015-11-20,67.370003,69.000000,67.160004,67.820000,54.482025,6052200
2015-11-23,67.820000,68.459999,67.410004,67.989998,54.618587,5605500
2015-11-24,67.629997,67.949997,67.239998,67.820000,54.482025,6022000
2015-11-25,67.820000,68.449997,67.589996,68.080002,54.690899,3706900
2015-11-27,68.080002,68.440002,67.809998,67.849998,54.506130,1385100
2015-11-30,67.849998,67.989998,66.849998,67.010002,53.831333,6167700
2015-12-01,67.540001,68.370003,66.930000,68.260002,54.835487,5529900
2015-12-02,68.620003,69.709999,67.660004,67.779999,54.449905,5924500
2015-12-03,67.589996,68.040001,66.139999,66.449997,53.381451,6804400
2015-12-04,66.879997,69.309998,66.849998,69.110001,55.518341,6775200
2015-12-07,69.000000,69.449997,68.480003,68.839996,55.301414,4865500
2015-12-08,68.379997,69.849998,68.349998,69.400002,55.751297,5215200
2015-12-09,69.099998,69.389999,68.269997,68.559998,55.076496,4814900
2015-12-10,68.559998,69.419998,68.169998,68.940002,55.381767,3783300
2015-12-11,68.940002,68.940002,67.470001,67.620003,54.321362,4187000
2015-12-14,67.889999,68.690002,67.339996,68.639999,55.140770,5966900
2015-12-15,69.300003,70.480003,69.300003,70.220001,56.410030,8250200
2015-12-16,70.349998,70.839996,69.070000,70.709999,56.803661,6232300
2015-12-17,70.790001,70.870003,69.209999,69.279999,55.654892,7068700
2015-12-18,68.809998,69.180000,67.629997,67.639999,54.337433,9868500
2015-12-21,68.230003,68.650002,67.309998,68.040001,54.658768,4124000
2015-12-22,68.300003,68.440002,67.360001,68.309998,54.875652,3320700
2015-12-23,68.550003,69.099998,68.239998,68.989998,55.421925,4048900
2015-12-24,68.779999,69.250000,68.440002,68.970001,55.405861,1668200
2015-12-28,68.760002,69.180000,68.629997,69.169998,55.566547,3004000
2015-12-29,69.489998,70.139999,69.349998,69.739998,56.024429,4038300
2015-12-30,69.500000,70.029999,69.349998,69.519997,56.153660,3445200
2015-12-31,69.120003,69.730003,68.790001,68.790001,55.564034,4007000
2016-01-04,67.449997,67.910004,66.379997,67.029999,54.142391,7113700
2016-01-05,67.500000,68.900002,67.419998,68.349998,55.208622,7836700
2016-01-06,67.470001,68.269997,66.849998,67.150002,54.239334,6691400
2016-01-07,65.849998,66.690002,64.949997,65.290001,52.736958,8436600
2016-01-08,65.599998,65.790001,63.500000,63.630001,51.396114,9076400
2016-01-11,63.709999,63.990002,61.980000,62.980000,50.871082,10337800
2016-01-12,63.250000,63.790001,62.119999,63.439999,51.242649,7796200
2016-01-13,63.599998,64.480003,61.189999,61.279999,49.497955,9706400
2016-01-14,61.320000,63.910000,60.889999,63.509998,51.299179,9343600
2016-01-15,61.689999,62.919998,61.070000,62.779999,50.709534,11230600
2016-01-19,63.610001,64.430000,62.560001,63.209999,51.056850,8463200
2016-01-20,62.240002,64.580002,61.799999,63.549999,51.331497,8702900
2016-01-21,63.939999,63.970001,62.500000,63.130001,50.992252,5665200
2016-01-22,64.459999,64.800003,63.650002,64.400002,52.018059,6644000
2016-01-25,64.230003,64.419998,62.639999,62.919998,50.822620,7957100
2016-01-26,63.029999,63.049999,61.919998,62.689999,50.636841,5531500
2016-01-27,62.939999,62.950001,61.160000,61.709999,49.845264,7537400
2016-01-28,64.169998,64.250000,60.000000,61.160000,49.401012,17001400
2016-01-29,61.650002,62.639999,61.160000,62.160000,50.208752,10139300
2016-02-01,61.869999,62.360001,60.049999,60.820000,49.126389,10195800
2016-02-02,60.029999,60.299999,58.459999,58.869999,47.551296,9915400
2016-02-03,59.200001,60.180000,57.939999,60.119999,48.560966,11153900
2016-02-04,59.619999,60.750000,59.189999,59.700001,48.221722,7987200
2016-02-05,59.750000,60.060001,58.990002,59.630001,48.165184,7129500
2016-02-08,59.040001,61.169998,58.770000,60.720001,49.045601,10656000
2016-02-09,60.270000,61.980000,60.029999,61.020000,49.287922,6391900
2016-02-10,61.250000,62.419998,60.919998,61.080002,49.336399,5933600
2016-02-11,59.880001,60.250000,58.939999,59.520000,48.076321,6632300
2016-02-12,60.200001,60.410000,59.160000,60.200001,48.625595,5979600
2016-02-16,62.720001,62.720001,61.349998,62.180000,50.224903,7808000
2016-02-17,62.889999,64.019997,61.959999,63.919998,51.630352,6971400
2016-02-18,63.950001,64.019997,62.910000,63.320000,51.145721,6338700
2016-02-19,62.919998,64.540001,62.910000,63.799999,51.533424,5873200
2016-02-22,63.900002,64.419998,63.330002,63.700001,51.452663,5821700
2016-02-23,63.279999,63.349998,62.020000,62.070000,50.136047,6293900
2016-02-24,61.840000,62.360001,60.830002,62.230000,50.265282,4825800
2016-02-25,62.630001,63.060001,62.299999,63.029999,50.911476,4499900
2016-02-26,63.349998,63.580002,62.240002,62.250000,50.281445,5345100
2016-02-29,62.259998,62.730000,61.919998,61.930000,50.022961,7416300
2016-03-01,62.310001,64.239998,61.919998,64.220001,51.872673,5203800
2016-03-02,64.180000,65.089996,63.709999,64.900002,52.421932,6150500
2016-03-03,64.489998,65.239998,63.639999,65.000000,52.502712,8198200
2016-03-04,65.000000,65.290001,64.169998,64.709999,52.268467,7112000
2016-03-07,64.500000,66.629997,64.449997,66.489998,53.706238,6979800
2016-03-08,66.110001,66.360001,65.730003,66.260002,53.520458,6494600
2016-03-09,66.660004,66.680000,64.949997,65.540001,52.938892,5431200
2016-03-10,66.169998,66.260002,64.480003,64.940002,52.454243,5992100
2016-03-11,65.180000,65.589996,64.540001,64.959999,52.470394,7107600
2016-03-14,64.680000,64.699997,64.010002,64.120003,51.791904,5721800
2016-03-15,63.970001,64.279999,63.320000,63.680000,51.436493,5400300
2016-03-16,63.380001,64.320000,62.209999,62.639999,50.596447,8666400
2016-03-17,62.520000,62.610001,60.980000,61.470001,49.651409,9640100
2016-03-18,61.540001,62.830002,61.000000,62.830002,50.749924,17343800
2016-03-21,62.529999,62.880001,62.130001,62.700001,50.644924,4002100
2016-03-22,62.580002,63.250000,62.380001,62.799999,50.725689,5756300
2016-03-23,63.080002,63.080002,62.259998,62.340000,50.354134,3651500
2016-03-24,62.180000,62.560001,61.730000,62.520000,50.499519,5342100
2016-03-28,62.580002,63.150002,62.220001,62.770000,50.701462,4699300
2016-03-29,62.450001,64.449997,62.330002,64.190002,51.848446,6146300
2016-03-30,63.959999,64.160004,63.200001,63.439999,51.547806,4489200
2016-03-31,63.599998,64.040001,63.299999,63.880001,51.905312,5811600
2016-04-01,63.660000,65.190002,63.500000,64.910004,52.742249,5804400
2016-04-04,65.010002,66.330002,64.769997,65.970001,53.603546,5726500
2016-04-05,65.830002,66.800003,65.599998,65.760002,53.432911,4340100
2016-04-06,65.760002,67.139999,65.760002,66.540001,54.066685,5743900
2016-04-07,66.050003,66.629997,65.599998,66.279999,53.855431,6309200
2016-04-08,66.830002,66.930000,65.639999,66.070000,53.684788,4404500
2016-04-11,66.199997,66.489998,65.769997,65.980003,53.611668,3545800
2016-04-12,65.959999,67.290001,65.860001,66.839996,54.310455,4394100
2016-04-13,67.000000,67.660004,66.419998,67.570000,54.903603,5643600
2016-04-14,67.660004,68.309998,67.519997,67.870003,55.147373,3456900
2016-04-15,67.940002,68.300003,67.570000,68.050003,55.293636,3247400
2016-04-18,68.080002,68.949997,67.589996,68.860001,55.951782,3346300
2016-04-19,68.849998,69.739998,68.190002,68.910004,55.992424,4019900
